time,frequency,tstart,tend,fstart,fend,snr,q,amplitude,phase
1438575722.015625,9.742794501707024,1438575722.0,1438575722.25,5.158505085805348,14.26853385222645,10.514219475477939,5.077024974497339,0.2033410684111411,1.7219822514857317
1438575781.984375,9.742794501707024,1438575781.5,1438575782.0,6.65254368006991,14.26853385222645,11.260920870821671,5.077024974497339,0.2177819938519126,1.5040489151322376
1438575782.015625,9.742794501707024,1438575782.0,1438575782.5,6.65254368006991,18.40107611092398,11.433062114485978,5.077024974497339,0.20255234050952586,-1.5631021287980635
1438576021.984375,9.742794501707024,1438576021.0,1438576022.0,5.158505085805348,4955.054089251953,17.264703335810932,5.077024974497339,0.3275166183083035,-1.7049061607485168
1438576022.015625,9.742794501707024,1438576022.0,1438576023.0,5.158505085805348,18.40107611092398,16.31037548756287,5.077024974497339,0.3399081084171669,1.7244446782170513
1438576141.984375,9.742794501707024,1438576141.0,1438576142.0,5.158505085805348,23.730511175623164,17.377188365077057,5.077024974497339,0.3061581254597731,1.3444904686847499
1438576142.015625,9.742794501707024,1438576142.0,1438576143.0,5.158505085805348,18.40107611092398,18.60451938900027,5.077024974497339,0.3342691112951155,-1.3599199493298426
1438576441.984375,9.742794501707024,1438576441.5,1438576442.0,6.65254368006991,14.26853385222645,10.100127648508503,5.077024974497339,0.2047627616144621,-1.680933357615746
1438588621.984375,9.742794501707024,1438588621.0,1438588622.0,5.158505085805348,18.40107611092398,18.34870085654912,5.077024974497339,0.3262005088536896,1.4816784154290017
1438588622.015625,9.742794501707024,1438588622.0,1438588623.0,6.65254368006991,18.40107611092398,14.857120478366124,5.077024974497339,0.28167883377560166,-1.4645602914386733
1438588681.984375,9.742794501707024,1438588681.5,1438588682.0,6.65254368006991,14.26853385222645,11.138991149866358,5.077024974497339,0.21118614748395415,-1.8981338922122843
1438588682.015625,9.742794501707024,1438588682.0,1438588682.5,6.65254368006991,14.26853385222645,11.18858169522139,5.077024974497339,0.2127783685847624,1.7528404234868724
1438589581.984375,9.742794501707024,1438589581.0,1438589582.0,5.158505085805348,18.40107611092398,15.83938073711937,5.077024974497339,0.30593993040644846,1.4365209359827036
1438589582.015625,9.742794501707024,1438589582.0,1438589582.5,6.65254368006991,18.40107611092398,15.489961243152125,5.077024974497339,0.32488094594366457,-1.3981630988632923
1438589821.984375,9.742794501707024,1438589821.0,1438589822.0,5.158505085805348,18.40107611092398,17.27875922794279,5.077024974497339,0.3313475563341351,-1.7104291512487795
1438589822.015625,9.742794501707024,1438589822.0,1438589822.5,6.65254368006991,18.40107611092398,12.829568917573322,5.077024974497339,0.2728446012942793,1.6742089726269291
1438590181.9375,9.251488377230379,1438590181.0,1438590182.0,6.65254368006991,14.26853385222645,10.524072052032261,11.896938433191872,0.15938397256673145,-1.649008573623541
1438590182.015625,9.742794501707024,1438590182.0,1438590183.0,6.65254368006991,18.40107611092398,11.169562086740315,5.077024974497339,0.21955820667925957,1.9628536628530031
1438590301.984375,9.742794501707024,1438590301.5,1438590302.0,6.65254368006991,18.40107611092398,11.94424996048853,5.077024974497339,0.23837337800215272,-1.6291536051183233
1438590302.015625,9.742794501707024,1438590302.0,1438590303.0,6.65254368006991,14.26853385222645,10.293213710122538,5.077024974497339,0.21764138376797226,1.765553368547085
1438590361.984375,9.742794501707024,1438590361.5,1438590362.0,6.65254368006991,14.26853385222645,10.005604622951262,5.077024974497339,0.21156013048022188,-1.8874576332596849
1438590362.015625,9.742794501707024,1438590362.0,1438590362.5,6.65254368006991,14.26853385222645,11.004519290205295,5.077024974497339,0.2035104975607397,1.7929648157374418
1438590705.75,8.549604147092905,1438590697.5,1438590706.0,4.0,5736.487259698962,750.740465631172,65.32614684811092,14.151394912042122,2.107781147650696
1438578722.015625,9.742794501707024,1438578722.0,1438578722.5,6.65254368006991,14.26853385222645,10.876115229927473,5.077024974497339,0.22161653466904163,1.8968061492532549
1438579022.0625,9.251488377230379,1438579022.0,1438579022.5,6.65254368006991,14.26853385222645,10.443716748921645,11.896938433191872,0.16087938637968185,-1.7751035292578508
1438579741.984375,9.742794501707024,1438579741.5,1438579742.0,5.158505085805348,18.40107611092398,13.378155846620901,5.077024974497339,0.29279324696620357,-1.7118389322243346
1438579742.015625,9.742794501707024,1438579742.0,1438579742.5,6.65254368006991,18.40107611092398,13.098488470071318,5.077024974497339,0.2833208078699037,1.78579914768216
1438586762.015625,9.742794501707024,1438586762.0,1438586762.5,6.65254368006991,18.40107611092398,14.994126307100663,5.077024974497339,0.30531923171425396,-1.4648209500329508
1438586821.984375,9.742794501707024,1438586821.0,1438586822.0,6.65254368006991,14.26853385222645,11.953990290878057,5.077024974497339,0.24341419144923016,1.3221699612597058
1438586822.015625,9.742794501707024,1438586822.0,1438586822.5,6.65254368006991,18.40107611092398,13.298932231621267,5.077024974497339,0.26603532050464757,-1.5356355154295018
1438587181.984375,9.742794501707024,1438587180.5,1438587182.0,5.158505085805348,23.730511175623164,26.984964252837923,5.077024974497339,0.49229519767884805,-1.7721026721878388
1438587182.015625,9.742794501707024,1438587182.0,1438587183.5,5.158505085805348,23.730511175623164,24.365648153476137,5.077024974497339,0.48513070601546815,1.7566467961208203
1438587301.984375,9.742794501707024,1438587301.5,1438587302.0,6.65254368006991,18.40107611092398,10.69569796791803,5.077024974497339,0.21899471563202136,1.3027262287807386
1438587302.015625,9.742794501707024,1438587302.0,1438587302.5,6.65254368006991,14.26853385222645,10.801515836901283,5.077024974497339,0.216140647378087,-1.3583928167495989
