time,frequency,tstart,tend,fstart,fend,snr,q,amplitude,phase
1439895985.859375,12.439047783167728,1439895985.75,1439895986.0,6.622924946053,30.062103095066156,9.377499711738643,5.077024974497339,7.1245690005556084e-06,1.2305318220132462
1439896057.25,5.755154464075445,1439896056.0,1439896058.0,4.0,5.896443169545091,6.332562783592548,27.877968848709678,4.55234724428512e-05,2.616940977649956
1439896865.5,6.944440740502943,1439896865.0,1439896867.0,6.872534839654261,7.01709897781808,6.250483687143307,65.32614684811092,1.4975780283426914e-05,1.7733582131541616
1439885307.496093,56.462052629012206,1439885307.4375,1439885307.53125,38.68247743798249,109.76468582918498,8.405310688874598,5.077024974497339,6.837179594537618e-07,2.9995430735795368
1439885308.505859,120.29329630559299,1439885308.375,1439885308.646485,18.156390621930257,225.93251062459655,7.739758384831457,5.077024974497339,5.410801508085369e-07,2.9695580860669097
1439885308.933593,56.462052629012206,1439885308.875,1439885309.09375,38.68247743798249,82.41363010402924,8.155569742337372,5.077024974497339,6.634031398499494e-07,0.32396669791308336
1439885347.654297,120.29329630559299,1439885347.59375,1439885347.65625,106.04592024050905,290.71915617830007,6.163699823530986,5.077024974497339,4.3089919145161055e-07,3.1079944540182054
1439885355.78125,4.537404023946279,1439885355.5,1439885356.0,4.0,6.622924946053,7.7322233134966565,5.077024974497339,4.478721970714582e-05,2.523928949110772
1439885370.560547,72.65267070694074,1439885370.554687,1439885370.566407,49.774763129782684,82.41363010402924,6.415219514848375,5.077024974497339,4.910283757283056e-07,0.21759171873129587
1439885382.147461,199.17336823631422,1439885382.144531,1439885382.150391,136.45482167768992,374.0835151850062,6.502420734972043,5.077024974497339,4.1107570196082703e-07,-1.8109862708760314
1439885382.361328,93.48598421551061,1439885382.355468,1439885382.515625,45.22444830295889,136.45482167768992,6.337579406169596,5.077024974497339,4.760429432669492e-07,0.3290260550688047
1439885385.59375,4.537404023946279,1439885384.0,1439885386.0,4.0,6.622924946053,7.650334004315444,5.077024974497339,4.431289371664273e-05,2.9039479346320216
1439885419.5,6.944440740502943,1439885419.0,1439885421.0,6.872534839654261,7.01709897781808,6.50121758441566,65.32614684811092,3.1813840229325854e-06,1.9310527433379314
1439885425.501953,72.65267070694074,1439885425.496093,1439885425.507813,64.04778619978664,106.04592024050905,6.428263109508403,5.077024974497339,5.075974945957847e-07,2.339569324021121
1439885434.643554,199.17336823631422,1439885434.640625,1439885434.644532,136.45482167768992,290.71915617830007,6.380440730907939,5.077024974497339,4.063105395526809e-07,-0.7728424068495203
1439885460.375,17.720118753928823,1439885459.75,1439885460.75,17.175352126173255,17.905520666305446,6.629722297442209,65.32614684811092,1.0322632205098e-06,-2.3579198458576958
1439885521.5,5.188814495770972,1439885519.0,1439885523.0,5.029295645239361,70.57901922288366,6.926989848809193,65.32614684811092,3.149240291674794e-05,0.72601779902624
1439885528.5,5.188814495770972,1439885528.0,1439885530.0,4.856518575912211,49.774763129782684,6.654270762166942,65.32614684811092,3.0252531118595716e-05,-2.796304198738646
1439885531.207031,56.462052629012206,1439885531.195312,1439885531.21875,30.062103095066156,82.41363010402924,6.43262746276311,5.077024974497339,5.376044991397227e-07,1.3410984437056948
1439885568.15625,5.838514631802965,1439885568.0625,1439885568.25,4.0,6.622924946053,6.801171578883098,5.077024974497339,6.5085222852207485e-06,-1.5204986576406216
1439885595.5,5.188814495770972,1439885594.0,1439885597.0,4.856518575912211,7.164704030365114,7.324016257702944,65.32614684811092,3.5363733711116955e-05,-2.4136699423949737
1439885605.75,5.4826524762521025,1439885604.0,1439885606.5,4.9883107597756595,6.622924946053,7.910704514565121,27.877968848709678,2.7371014274339244e-05,-2.726938620484782
1439885647.25,5.223053240879836,1439885645.0,1439885649.0,4.0,6.622924946053,9.983820038933535,27.877968848709678,4.6084496255489455e-05,1.8327232396839888
1439885776.070312,163.54200554285333,1439885776.0625,1439885776.09375,136.45482167768992,175.88496547861848,6.394354030196808,27.877968848709678,4.2535770426240094e-07,1.5952045716085388
1439895041.522461,199.17336823631422,1439895040.75,1439895042.0,6.622924946053,974.5232130891881,136.44594243528596,5.077024974497339,3.0422074616383328e-05,-1.1301621699908382
1439895532.28125,5.838514631802965,1439895532.0,1439895532.375,5.1470088191309715,8.522063276444328,7.783478596182158,5.077024974497339,2.997848266257837e-05,-0.7714265625022967
1439895564.330078,925.1039978989542,1439895564.324218,1439895564.335938,915.5250499557936,934.7831683796654,6.5041837985425355,65.32614684811092,5.766384805779736e-07,-2.508908484417085
1439895649.15625,5.838514631802965,1439895649.0625,1439895649.1875,4.0,6.622924946053,6.313376044871673,5.077024974497339,2.3657151729199975e-05,1.9949794400224978
1439895704.375,6.98750364050662,1439895704.0,1439895705.0,6.820071289266341,7.159046446176602,6.241193132560278,27.877968848709678,1.2155029423937738e-05,-2.8719617187848208
1439895845.5,4.392815129786312,1439895844.0,1439895848.0,4.34732992212564,5.6983757056693145,6.138554845144959,65.32614684811092,0.00021063162650062443,-2.449633449681275
1439886869.8125,6.573859054350684,1439886869.625,1439886869.875,5.1470088191309715,8.522063276444328,6.174413792705142,11.896938433191872,6.542717729227477e-06,0.8461458723937337
1439886913.671875,9.667011050715827,1439886913.625,1439886913.75,6.622924946053,10.965783710262784,6.155939373482031,5.077024974497339,1.7952726245783414e-06,2.5436732345220046
1439887334.875,17.720118753928823,1439887334.5,1439887335.25,17.53663657735623,17.905520666305446,6.2386109486418775,65.32614684811092,2.4493755315784008e-06,-1.0641540365583524
