time,frequency,tstart,tend,fstart,fend,snr,q,amplitude,phase
1439895041.522461,199.17336823631422,1439895040.75,1439895042.0,6.622924946053,974.5232130891881,136.44594243528596,5.077024974497339,3.0422074616383328e-05,-1.1301621699908382
1439887342.171875,12.439047783167728,1439887340.0,1439887344.5,5.1470088191309715,290.71915617830007,67.27311023757733,5.077024974497339,2.2551826849842458e-05,1.4938097376539183
1439887982.59375,7.5127215751287695,1439887981.5,1439887983.5,5.1470088191309715,14.110246366351323,12.940114348079113,5.077024974497339,9.160737502473688e-06,-2.972910873077722
1439899152.5625,7.3412014775377825,1439899151.5,1439899153.0,5.1470088191309715,10.965783710262784,11.094859752756614,11.896938433191872,1.855502752566451e-05,0.5443543950462073
1439899707.046875,12.439047783167728,1439899706.75,1439899707.5,6.622924946053,23.362775663665474,10.148477715999283,5.077024974497339,8.190719958659731e-06,-2.666662684310767
1439889392.453125,12.439047783167728,1439889391.0,1439889394.0,5.1470088191309715,64.04778619978664,19.171697004532092,5.077024974497339,9.877925562690301e-06,1.8080174227361072
1439890556.59375,7.5127215751287695,1439890555.5,1439890557.5,5.1470088191309715,10.965783710262784,12.486257686194458,5.077024974497339,1.3086292944080175e-05,-0.09633729035850208
1439903081.484375,9.667011050715827,1439903079.5,1439903083.0,5.1470088191309715,106.04592024050905,44.75685474374914,5.077024974497339,4.418741476328675e-05,0.2875829698684668
1439903161.78125,7.5127215751287695,1439903161.25,1439903162.25,5.1470088191309715,10.965783710262784,10.309672929807002,5.077024974497339,1.5315930049045392e-05,-1.6648525054392476
1439910938.71875,7.5127215751287695,1439910938.0,1439910939.5,4.0,14.110246366351323,13.920549339828396,5.077024974497339,2.189239805492062e-05,-3.030543277597099
1439911106.097168,678.5534996833959,1439911106.085937,1439911106.109375,481.3527879371854,830.5183281671183,11.639674100496794,11.896938433191872,1.1992686919581956e-06,2.5742747499306753
1439908803.59375,7.5127215751287695,1439908802.0,1439908804.0,5.1470088191309715,18.156390621930257,23.17787886245407,5.077024974497339,3.510292690704665e-05,0.17881117315725878
1439908804.25,7.547443755904196,1439908804.0,1439908805.0,5.896443169545091,9.790571391662949,10.689395771986218,65.32614684811092,1.350090080643299e-05,-1.2824705672813719
1439909798.53125,7.5127215751287695,1439909798.0,1439909799.0,5.1470088191309715,10.965783710262784,10.39500299831567,5.077024974497339,1.6299672394282032e-05,-2.930941064329342
1439913455.34375,7.5127215751287695,1439913455.0,1439913456.0,5.1470088191309715,10.965783710262784,11.280772647967424,5.077024974497339,1.8912197580643643e-05,0.7412754969741273
1439912806.4375,9.155048580020672,1439912805.5,1439912807.5,6.622924946053,136.45482167768992,12.801196087897118,11.896938433191872,1.1766079042086363e-05,0.4947717386988341
1439901123.859375,12.439047783167728,1439901123.0,1439901124.0,5.1470088191309715,30.062103095066156,22.912157990849526,5.077024974497339,1.9923739440094566e-05,-1.1785401672760012
1439903960.191894,329.7775672704214,1439903960.125,1439903960.234375,49.774763129782684,619.3817611564933,33.931548637822814,5.077024974497339,3.975358022188724e-06,1.6802693056620925
