time,frequency,tstart,tend,fstart,fend,snr,q,amplitude,phase
1437491435.890625,9.667011050715827,1437491432.0,1437491440.0,4.0,481.3527879371854,386.52094677755076,5.077024974497339,0.10176203906740279,1.1697691108175337
1437493575.234375,9.667011050715827,1437493573.5,1437493577.0,4.0,136.45482167768992,51.35687186222833,5.077024974497339,0.013736855116203895,0.30859956180936676
1437448955.65625,71.48095227686366,1437448955.3125,1437448957.3125,49.774763129782684,106.04592024050905,20.443819849918064,65.32614684811092,0.003270908178482598,-2.4262945421999706
1437498944.5625,14.464919898837397,1437498943.5,1437498946.0,5.1470088191309715,175.58354264700353,28.975928135548866,27.877968848709678,0.005849322504885388,-0.3301446297231963
1437454044.484375,12.439047783167728,1437454043.0,1437454046.0,5.1470088191309715,136.45482167768992,45.68167252041935,5.077024974497339,0.013597964857677848,1.781998346403519
1437469880.617187,20.59571996707171,1437469879.0,1437469883.0,4.0,290.71915617830007,35.16136358943402,5.077024974497339,0.008607925116189213,-2.61801732181125
1437476174.421875,9.667011050715827,1437476172.0,1437476177.0,4.0,225.93251062459655,87.18818988435333,5.077024974497339,0.023616220772688584,-0.8223332410427218
1437477657.796875,9.667011050715827,1437477656.0,1437477659.5,4.0,175.58354264700353,58.10781534250355,5.077024974497339,0.017918289673331946,2.265909191076671
1437478547.578125,9.667011050715827,1437478545.5,1437478549.5,4.0,106.04592024050905,85.82821496048078,5.077024974497339,0.02058837561424306,1.3426066038956503
1437505938.5,6.129052800096478,1437505932.0,1437505939.0,4.0,13.103193976288908,85.833502432787,65.32614684811092,0.06500796643367095,1.7841262876946933
1437520529.234375,9.667011050715827,1437520527.5,1437520531.0,4.0,136.45482167768992,48.42001652939006,5.077024974497339,0.013493764937201244,-2.386484720873095
