time,frequency,tstart,tend,fstart,fend,snr,q,amplitude,phase,full_peak_time,full_start_time,full_end_time
1440100200.984375,9.742794501707024,1440100200.0,1440100201.0,5.158505085805348,18.40107611092398,12.250215850192228,5.077024974497339,0.22916426840737805,1.4408309736097218,1440100200.984375,1440100200.0,1440100201.0
1440100440.984375,9.742794501707024,1440100440.0,1440100441.0,6.65254368006991,18.40107611092398,14.57280534909747,5.077024974497339,0.25619402502899435,1.474350189095987,1440100440.984375,1440100440.0,1440100441.0
1440100441.015625,9.742794501707024,1440100441.0,1440100442.0,5.158505085805348,18.40107611092398,13.908735554746437,5.077024974497339,0.26624185981305043,-1.4653814297094039,1440100441.015625,1440100441.0,1440100442.0
1440101340.984375,9.742794501707024,1440101340.0,1440101341.0,6.65254368006991,18.40107611092398,13.092047696634,5.077024974497339,0.22163461810544546,-1.7206325704278618,1440101340.984375,1440101340.0,1440101341.0
1440101341.015625,9.742794501707024,1440101341.0,1440101342.0,6.65254368006991,18.40107611092398,14.780586796411551,5.077024974497339,0.2519485568706598,1.7648237366898483,1440101341.015625,1440101341.0,1440101342.0
1440101520.984375,9.742794501707024,1440101520.0,1440101521.0,5.158505085805348,18.40107611092398,13.666499308721965,5.077024974497339,0.25439027452760976,-1.7613653283059596,1440101520.984375,1440101520.0,1440101521.0
1440101521.015625,9.742794501707024,1440101521.0,1440101521.5,6.65254368006991,18.40107611092398,12.570445425024328,5.077024974497339,0.23095139016102476,1.9327727008692477,1440101521.015625,1440101521.0,1440101521.5
1440102000.984375,9.742794501707024,1440102000.5,1440102001.0,6.65254368006991,18.40107611092398,12.286968396381571,5.077024974497339,0.20332079029488032,-1.8911092138644603,1440102000.984375,1440102000.5,1440102001.0
1440102121.015625,9.742794501707024,1440102121.0,1440102121.5,6.65254368006991,18.40107611092398,12.479582572475612,5.077024974497339,0.23311931735204286,-1.4014671572046442,1440102121.015625,1440102121.0,1440102121.5
1440102600.984375,9.742794501707024,1440102600.0,1440102601.0,6.65254368006991,18.40107611092398,16.2652447076451,5.077024974497339,0.29472031081127537,1.3676746592363955,1440102600.984375,1440102600.0,1440102601.0
1440102601.015625,9.742794501707024,1440102601.0,1440102602.0,5.158505085805348,18.40107611092398,14.707191239931532,5.077024974497339,0.2641907648711764,-1.4002997062498226,1440102601.015625,1440102601.0,1440102602.0
1440102660.984375,9.742794501707024,1440102660.0,1440102661.0,6.65254368006991,23.730511175623164,15.584454461712657,5.077024974497339,0.2799493715129696,1.375089286175632,1440102660.984375,1440102660.0,1440102661.0
1440102661.015625,9.742794501707024,1440102661.0,1440102662.0,5.158505085805348,18.40107611092398,17.980563788500476,5.077024974497339,0.2999169435740667,-1.3884392239668146,1440102661.015625,1440102661.0,1440102662.0
1440102900.984375,9.742794501707024,1440102900.5,1440102901.0,6.65254368006991,18.40107611092398,14.248741485643604,5.077024974497339,0.26052968720268527,-1.7414189871925008,1440102900.984375,1440102900.5,1440102901.0
1440103141.015625,9.742794501707024,1440103141.0,1440103142.0,5.158505085805348,18.40107611092398,15.811515070022422,5.077024974497339,0.2676763850737923,-1.4502681659522765,1440103141.015625,1440103141.0,1440103142.0
1440103260.984375,9.742794501707024,1440103260.5,1440103261.0,5.158505085805348,18.40107611092398,13.88017414364658,5.077024974497339,0.21677530120199948,1.3729117371897186,1440103260.984375,1440103260.5,1440103261.0
1440103392.695312,34.753848290723106,1440103392.5,1440103392.875,11.064084353809525,181.55911920324363,15.192864139863099,5.077024974497339,0.734530270102363,-1.0954217278836555,1440103392.695312,1440103392.5,1440103392.875
1440103560.984375,9.742794501707024,1440103560.5,1440103561.0,6.65254368006991,23.730511175623164,13.233107435827902,5.077024974497339,0.24938639220783998,-1.8812984443062064,1440103560.984375,1440103560.5,1440103561.0
